product_detail,transaction_qty,total_sales,estimated_cost,profit,profit_margin
Almond Croissant,1911,7168.13,4300.878,2867.252,0.39999999999999997
Brazilian - Organic,214,3852.0,2311.2,1540.8000000000002,0.4
Brazilian Lg,4317,15109.5,9065.7,6043.799999999999,0.39999999999999997
Brazilian Rg,4385,13155.0,7892.999999999999,5262.000000000001,0.4000000000000001
Brazilian Sm,4310,9482.0,5689.2,3792.8000000000006,0.4000000000000001
Cappuccino,4266,15997.5,9598.5,6399.0,0.4
Cappuccino Lg,4151,17641.75,10585.05,7056.700000000001,0.4
Caramel syrup,2576,2060.8,1236.48,824.3200000000002,0.4
Chili Mayan,148,1972.84,1183.704,789.1360000000001,0.4000000000000001
Chocolate Chip Biscotti,1924,6748.96,4049.376,2699.584,0.39999999999999997
Chocolate Croissant,3096,11625.98,6975.588,4650.392,0.4
Chocolate syrup,2658,2126.4,1275.84,850.5600000000002,0.4000000000000001
Civet Cat,260,11700.0,7020.0,4680.0,0.4
Columbian Medium Roast,148,2220.0,1332.0,888.0,0.4
Columbian Medium Roast Lg,4195,12585.0,7550.999999999999,5034.000000000001,0.4000000000000001
Columbian Medium Roast Rg,4547,11367.5,6820.5,4547.0,0.4
Columbian Medium Roast Sm,4178,8356.0,5013.599999999999,3342.4,0.4
Cranberry Scone,2092,6818.44,4091.064,2727.376,0.4000000000000001
Croissant,1954,6861.88,4117.128000000001,2744.752,0.39999999999999997
Dark chocolate,118,755.2,453.12,302.08000000000004,0.4
Dark chocolate Lg,4668,21006.0,12603.599999999999,8402.400000000001,0.4000000000000001
Dark chocolate Rg,4007,14024.5,8414.7,5609.799999999999,0.39999999999999997
Earl Grey,142,1270.8999999999999,762.5399999999998,508.36,0.4000000000000001
Earl Grey Lg,4245,12735.0,7640.999999999999,5094.000000000001,0.4000000000000001
Earl Grey Rg,4708,11770.0,7062.0,4708.0,0.4
English Breakfast,161,1440.9499999999998,864.5699999999998,576.38,0.4
English Breakfast Lg,4309,12927.0,7756.199999999999,5170.800000000001,0.4000000000000001
