,predicted_mean
2023-07-01,5574.277487209355
2023-07-02,5549.70581640475
2023-07-03,5687.959550962415
2023-07-04,5621.471459120293
2023-07-05,5558.798210221382
2023-07-06,5554.873152755872
2023-07-07,5653.578605797551
2023-07-08,5696.61867917811
2023-07-09,5661.045636186859
2023-07-10,5791.972097520398
2023-07-11,5709.750792339833
2023-07-12,5731.667631971013
2023-07-13,5747.035370810508
2023-07-14,5777.674821878928
2023-07-15,5816.965651848445
2023-07-16,5780.542233933483
2023-07-17,5910.914423433238
2023-07-18,5827.53959735828
2023-07-19,5855.606057196955
2023-07-20,5872.375613087202
2023-07-21,5898.062960793045
2023-07-22,5937.080762204417
2023-07-23,5900.595360258572
2023-07-24,6030.927176978197
2023-07-25,5947.468416478571
2023-07-26,5975.982216700541
2023-07-27,5992.853742778149
2023-07-28,6018.18085144505
2023-07-29,6057.178790858395
2023-07-30,6020.688879619672
